dr_no,date_rptd,date_occ,time_occ,area,area_name,rpt_dist_no,part_1_2,crm_cd,crm_cd_desc,mocodes,vict_age,vict_sex,vict_descent,premis_cd,premis_desc,status,status_desc,crm_cd_1,location,cross_street,lat,lon,weapon_used_cd,weapon_desc,crm_cd_2,crm_cd_3,index_right,geoid,distance_meters,year
181611038,2018-06-25T00:00:00.000,2016-01-01,1200,16,Foothill,1617,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",0601,45,M,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,668,8400    OSWEGO                       ST,,34.2623,-118.3157,,,,,1395,06037103201,575.3588638182924,2016
130904801,2013-01-19T00:00:00.000,2013-01-19,1730,09,Van Nuys,0905,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0448 0444,49,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AA,Adult Arrest,626,14600    SATICOY                      ST,,34.2085,-118.4504,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,1619,06037127220,505.98685661933877,2013
171519756,2017-10-02T00:00:00.000,2017-10-01,1300,15,N Hollywood,1514,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,27,M,W,122,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,740,6800    LAUREL CANYON                BL,,34.194,-118.3965,,,,,1572,06037123204,229.26522411415579,2017
160321686,2016-09-22T00:00:00.000,2013-01-01,2359,03,Southwest,0336,2,813,CHILD ANNOYING (17YRS & UNDER),1251 1259 0557,13,F,H,501,SINGLE FAMILY DWELLING,AO,Adult Other,813,2100 W  31ST                         ST,,34.0265,-118.312,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,2137,06037222001,237.9756041381863,2013
160817788,2016-10-27T00:00:00.000,2016-10-27,0730,08,West LA,0857,1,310,BURGLARY,0344 0358 1602 0352 1221 0321 1402,35,F,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,310,1400 S  DOHENY                       DR,,34.0553,-118.3899,,,998,,2094,06037217001,388.3874911740322,2016
170207686,2017-03-16T00:00:00.000,2017-03-13,1000,02,Rampart,0238,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,25,F,H,721,HIGH SCHOOL,IC,Invest Cont,440,1200    COLTON                       ST,,34.062,-118.2545,,,,,1989,06037208001,348.8901376009156,2017
181412834,2018-05-23T00:00:00.000,2018-05-22,1500,14,Pacific,1446,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,20,F,H,101,STREET,IC,Invest Cont,740,CENTURY                      BL,AIRPORT,34.0022,-118.4275,,,,,2388,06037272302,53.03743177299343,2018
160204703,2016-01-14T00:00:00.000,2011-10-01,0001,02,Rampart,0249,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",0344,30,M,O,203,OTHER BUSINESS,IC,Invest Cont,668,1000    WILSHIRE                     BL,,34.0514,-118.2613,,,,,2010,06037209201,215.95285650833276,2011
191316491,2019-08-09T00:00:00.000,2019-08-09,2100,13,Newton,1383,2,623,BATTERY POLICE (SIMPLE),1212 0334 2004,0,M,H,108,PARKING LOT,IC,Invest Cont,436,BROADWAY                     BL,GAGE                         AV,33.9824,-118.2783,500,UNKNOWN WEAPON/OTHER WEAPON,623,,2249,06037239201,358.5802924673532,2019
170819570,2017-12-10T00:00:00.000,2017-09-30,1200,08,West LA,0829,2,354,THEFT OF IDENTITY,0100 0928 1822 0930,43,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,354,10300    WILSHIRE                     BL,,34.068,-118.4254,,,,,2334,06037265702,420.75241212114764,2017
150121189,2015-09-18T00:00:00.000,2015-09-18,0600,01,Central,0157,2,624,BATTERY - SIMPLE ASSAULT,1218 0416 0417,37,F,W,102,SIDEWALK,IC,Invest Cont,624,6TH                          ST,SAN PEDRO                    ST,34.0417,-118.2443,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,1972,06037206303,160.09174030781597,2015
191106994,2019-03-04T00:00:00.000,2019-03-02,2100,11,Northeast,1148,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,32,M,W,101,STREET,IC,Invest Cont,740,300    MUSEUM                       DR,,34.1,-118.2072,,,,,1795,06037185101,288.1804289921419,2019
150718747,2015-12-23T00:00:00.000,2015-12-10,0800,07,Wilshire,0759,2,354,THEFT OF IDENTITY,1202 1822 0930,69,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,354,1200    3RD                          AV,,34.0498,-118.319,,,,,2060,06037212900,305.61420027884293,2015
182021177,2018-11-28T00:00:00.000,2018-11-27,1830,20,Olympic,2011,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,IC,Invest Cont,510,200 N  MANHATTAN                    PL,,34.0747,-118.3102,,,,,2030,06037211410,373.52963281107134,2018
141611829,2014-07-31T00:00:00.000,2014-07-31,1835,16,Foothill,1651,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1202,62,F,H,404,DEPARTMENT STORE,IC,Invest Cont,440,9700    LAUREL CANYON                BL,,34.2459,-118.4185,,,,,1420,06037104822,157.7544295195516,2014
160818844,2016-11-21T00:00:00.000,2016-11-19,2000,08,West LA,0849,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,0500 0515,20,F,O,501,SINGLE FAMILY DWELLING,IC,Invest Cont,815,8600 W  PICO                         BL,,34.0583,-118.3799,,,,,2088,06037216401,175.02182197749548,2016
131218055,2013-07-29T00:00:00.000,2013-07-29,1525,12,77th Street,1269,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0417 0419 1813 0416 1243,18,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AA,Adult Arrest,626,7900    WADSWORTH                    AV,,33.9675,-118.2586,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,2255,06037239502,407.84468235050093,2013
131521345,2013-11-13T00:00:00.000,2013-11-08,1753,15,N Hollywood,1548,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0701,53,M,I,210,RESTAURANT/FAST FOOD,IC,Invest Cont,341,5200    LANKERSHIM                   BL,,34.1649,-118.3746,,,,,1608,06037125322,248.39733468640904,2013
130507581,2013-03-21T00:00:00.000,2013-02-27,0800,05,Harbor,0503,2,354,THEFT OF IDENTITY,0922 1822,36,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,354,1000 W  253RD                        ST,,33.7947,-118.2928,,,,,2450,06037294410,204.80389323483007,2013
190310845,2019-04-15T00:00:00.000,2019-04-12,2200,03,Southwest,0315,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,X,X,704,ELEMENTARY SCHOOL,IC,Invest Cont,740,2000 W  24TH                         ST,,34.0347,-118.309,,,,,2130,06037221500,406.7101026282563,2019
180212728,2018-06-03T00:00:00.000,2018-04-02,1200,02,Rampart,0269,1,480,BIKE - STOLEN,0344,19,F,W,707,GARAGE/CARPORT,IC,Invest Cont,480,700 S  BIXEL                        ST,,34.0509,-118.2642,,,,,2010,06037209201,235.05228736164247,2018
130218444,2013-09-03T00:00:00.000,2013-09-02,1900,02,Rampart,0249,1,330,BURGLARY FROM VEHICLE,1822 0344 1307 1609 0358,33,M,W,101,STREET,IC,Invest Cont,330,1100    WILSHIRE                     BL,,34.0524,-118.2633,,,,,2010,06037209201,49.71776119298561,2013
161324920,2016-12-18T00:00:00.000,2016-12-13,0001,13,Newton,1383,1,330,BURGLARY FROM VEHICLE,0344 0358 1601,42,F,H,104,DRIVEWAY,IC,Invest Cont,330,200 E  60TH                         ST,,33.9852,-118.2718,,,,,2250,06037239202,213.7892927249966,2016
191713642,2019-08-03T00:00:00.000,2019-08-03,0220,17,Devonshire,1779,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1202 0216 1606 0344,63,F,O,104,DRIVEWAY,IC,Invest Cont,420,15600    MARILLA                      ST,,34.2474,-118.4734,,,,,1512,06037117202,809.641588638389,2019
150818931,2015-12-19T00:00:00.000,2015-12-19,0745,08,West LA,0842,2,624,BATTERY - SIMPLE ASSAULT,0416 0446,67,M,W,108,PARKING LOT,IC,Invest Cont,624,11600    WILSHIRE                     BL,,34.0508,-118.4592,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,2313,06037264304,299.29371766583597,2015
171719019,2017-10-13T00:00:00.000,2017-10-13,1340,17,Devonshire,1764,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0444 1814,20,F,H,102,SIDEWALK,AO,Adult Other,626,19500    PLUMMER                      ST,,34.2428,-118.5579,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,1487,06037113301,232.71239085613507,2017
190313206,2019-05-19T00:00:00.000,2019-05-19,1245,03,Southwest,0356,1,330,BURGLARY FROM VEHICLE,1300 0344 1605,54,F,B,108,PARKING LOT,IC,Invest Cont,330,3600 S  WESTERN                      AV,,34.0228,-118.3089,,,,,2138,06037222002,396.91464658394557,2019
131207282,2013-02-21T00:00:00.000,2013-02-20,2110,12,77th Street,1239,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0334 0603 1820 0445 0342,60,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,230,1000 W  62ND                         ST,,33.9833,-118.2915,200,KNIFE WITH BLADE 6INCHES OR LESS,,,2230,06037237101,129.35590565309403,2013
180507703,2018-03-21T00:00:00.000,2018-03-21,1830,05,Harbor,0504,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0445 0913 0400 0416 1309 0559,26,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,230,1500 W  208TH                        ST,,33.8419,-118.304,308,STICK,,,2434,06037292001,317.75736990689626,2018
151011260,2015-06-26T00:00:00.000,2015-06-19,0800,10,West Valley,1003,2,662,"BUNCO, GRAND THEFT",0701 0344 0800 1402,58,F,B,501,SINGLE FAMILY DWELLING,IC,Invest Cont,662,8100    RESEDA                       BL,,34.2148,-118.5404,,,998,,1650,06037131021,294.35675511875684,2015
172111979,2017-06-01T00:00:00.000,2017-04-27,1200,21,Topanga,2162,2,624,BATTERY - SIMPLE ASSAULT,1258 0400 0447,10,M,H,704,ELEMENTARY SCHOOL,IC,Invest Cont,624,23200    HATTERAS                     ST,,34.1756,-118.6321,,,,,1718,06037137301,345.357738955537,2017
171512401,2017-05-24T00:00:00.000,2017-03-07,0800,15,N Hollywood,1526,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906 0913,43,F,H,501,SINGLE FAMILY DWELLING,AO,Adult Other,956,11600    SYLVAN                       ST,,34.1849,-118.3845,,,,,1591,06037124104,23.57458091885876,2017
180216814,2018-08-11T00:00:00.000,2018-08-11,1320,02,Rampart,0212,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1821 1241 0416 0448 0411 0446,51,M,H,501,SINGLE FAMILY DWELLING,AO,Adult Other,626,500 N  JUANITA                      AV,,34.0799,-118.2904,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,1882,06037192700,246.79455327972758,2018
161714172,2016-07-31T00:00:00.000,2016-07-31,1400,17,Devonshire,1781,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1202 1307,61,F,H,101,STREET,IC,Invest Cont,745,NORDHOFF,WINNETKA,34.2319,-118.571,,,,,1495,06037113426,883.9647840831942,2016
161017641,2016-10-27T00:00:00.000,2016-10-27,1923,10,West Valley,1008,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325 0104 0342 1309 0202 1420,50,M,H,407,HARDWARE/BUILDING SUPPLY,IC,Invest Cont,343,16800    ROSCOE                       BL,,34.221,-118.4989,,,,,1654,06037131100,929.8248697374795,2016
150916727,2015-09-13T00:00:00.000,2015-09-12,2045,09,Van Nuys,0935,2,624,BATTERY - SIMPLE ASSAULT,0417 1501,36,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,624,ERWIN,HAZELTINE,34.1837,-118.44,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,1637,06037128210,263.96584803350174,2015
191510170,2019-04-18T00:00:00.000,2019-04-18,1700,15,N Hollywood,1562,2,888,TRESPASSING,0913,30,F,W,501,SINGLE FAMILY DWELLING,AO,Adult Other,888,4700    WHITSETT                     AV,,34.1558,-118.4052,,,,,1762,06037143402,451.32651392324533,2019
161214774,2016-05-26T00:00:00.000,2016-05-23,0745,12,77th Street,1249,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1307,53,F,W,121,YARD (RESIDENTIAL/BUSINESS),IC,Invest Cont,745,600 W  68TH                         ST,,33.9783,-118.2838,,,,,2238,06037237600,66.92788877623495,2016
171518983,2017-09-15T00:00:00.000,2017-09-15,1030,15,N Hollywood,1506,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0311,0,M,B,720,JUNIOR HIGH SCHOOL,IC,Invest Cont,740,7300    BAKMAN                       AV,,34.203,-118.3779,,,,,1567,06037123010,341.8149501705001,2017
150920805,2015-12-08T00:00:00.000,2015-12-06,1900,09,Van Nuys,0952,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1501,25,F,W,123,PARKING UNDERGROUND/BUILDING,IC,Invest Cont,420,5400    KESTER                       AV,,34.1685,-118.4574,,,,,1648,06037128802,154.81422567023768,2015
131206260,2013-02-04T00:00:00.000,2013-02-03,2140,12,77th Street,1232,1,210,ROBBERY,0342 1822 0344 0416 0429 0417 0448 1202 0413,70,M,B,101,STREET,IC,Invest Cont,210,WEST,SLAUSON,33.989,-118.3352,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,2215,06037234700,745.8911991021213,2013
171208937,2017-03-12T00:00:00.000,2017-03-12,1730,12,77th Street,1213,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1100 0430 1300 0216 1309 0913 0906,29,M,B,101,STREET,IC,Invest Cont,230,1600 W  58TH                         ST,,33.9897,-118.3044,111,STARTER PISTOL/REVOLVER,,,2202,06037232601,348.4751689531783,2017
180914696,2018-07-19T00:00:00.000,2018-04-06,1000,09,Van Nuys,0981,2,649,DOCUMENT FORGERY / STOLEN FELONY,0100 1822 0923,49,M,W,229,CHECK CASHING*,IC,Invest Cont,649,15000    VENTURA                      BL,,34.1527,-118.4596,,,,,1751,06037141306,383.1967100858723,2018
192011862,2019-06-08T00:00:00.000,2019-06-08,1810,20,Olympic,2029,2,624,BATTERY - SIMPLE ASSAULT,0444 0202,21,M,O,109,PARK/PLAYGROUND,IC,Invest Cont,624,3100 W  4TH                          ST,,34.0667,-118.2871,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,2025,06037211124,18.899241884181368,2019
151807923,2015-03-23T00:00:00.000,2015-03-23,0945,18,Southeast,1803,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416,21,F,H,103,ALLEY,IC,Invest Cont,626,90TH                         ST,AVALON                       BL,33.9583,-118.2684,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,2262,06037240010,529.5736910257015,2015
140304587,2014-01-11T00:00:00.000,2014-01-10,0630,03,Southwest,0373,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0319 0359 0443,67,M,H,102,SIDEWALK,AA,Adult Arrest,930,3700    GRAYBURN                     AV,,34.0192,-118.3319,511,VERBAL THREAT,,,2209,06037234200,369.0906574342019,2014
180417636,2018-11-25T00:00:00.000,2018-11-25,0745,04,Hollenbeck,0411,2,624,BATTERY - SIMPLE ASSAULT,1251 1258 0361 0443 0447,13,M,H,501,SINGLE FAMILY DWELLING,IC,Invest Cont,624,200 N  AVENUE 19,,34.0753,-118.2232,500,UNKNOWN WEAPON/OTHER WEAPON,,,1912,06037199001,573.3869868210247,2018
190904621,2019-01-14T00:00:00.000,2019-01-14,1730,09,Van Nuys,0926,1,510,VEHICLE - STOLEN,,0,,,101,STREET,IC,Invest Cont,510,VAN NUYS,KITTRIDGE,34.1907,-118.4487,,,,,1636,06037128102,390.6653778787185,2019
151007768,2015-04-02T00:00:00.000,2015-04-02,1820,10,West Valley,1023,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400 0448,45,F,H,102,SIDEWALK,AO,Adult Other,626,TAMPA                        AV,KITTRIDGE                    ST,34.1906,-118.5535,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,1671,06037132502,529.8104031771151,2015
151919586,2015-10-09T00:00:00.000,2015-10-09,0610,19,Mission,1915,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0334 0421,49,F,W,101,STREET,IC,Invest Cont,930,12600    DE FOE                       AV,,34.2988,-118.4434,102,HAND GUN,,,1445,06037107010,593.6859263897087,2015
160104362,2016-01-05T00:00:00.000,2016-01-05,1157,01,Central,0111,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 2004,25,M,H,402,MARKET,IC,Invest Cont,442,700 W  CESAR E CHAVEZ               AV,,34.0606,-118.2439,,,,,1973,06037207101,167.90878207706373,2016
192120416,2019-12-27T00:00:00.000,2019-12-27,1910,21,Topanga,2189,1,761,BRANDISH WEAPON,0329 1307 1822,24,M,O,108,PARKING LOT,AO,Adult Other,740,20200    VENTURA                      BL,,34.1702,-118.5729,311,HAMMER,761,,1722,06037137501,702.0869853518552,2019
191311627,2019-05-17T00:00:00.000,2019-05-17,2105,13,Newton,1383,1,251,SHOTS FIRED AT INHABITED DWELLING,1100 1407 0906,41,M,H,501,SINGLE FAMILY DWELLING,IC,Invest Cont,251,100 W  62ND                         ST,,33.9833,-118.2739,102,HAND GUN,998,,2249,06037239201,371.52026211994803,2019
170507812,2017-03-24T00:00:00.000,2017-03-23,0200,05,Harbor,0564,1,510,VEHICLE - STOLEN,,0,,,101,STREET,IC,Invest Cont,510,400 W  5TH                          ST,,33.7397,-118.2857,,,,,2463,06037296220,279.45076644173383,2017
172104725,2017-01-14T00:00:00.000,2017-01-14,0800,21,Topanga,2187,2,354,THEFT OF IDENTITY,1822,37,F,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,354,5200    MARMOL                       DR,,34.1633,-118.5921,,,,,1723,06037137502,539.8891282289319,2017
172010510,2017-05-10T00:00:00.000,2017-05-09,1900,20,Olympic,2029,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,27,M,H,101,STREET,IC,Invest Cont,745,LAFAYETTE                    PL,WILSHIRE                     BL,34.0652,-118.2878,,,,,2025,06037211124,163.51442250492363,2017
190216710,2019-08-16T00:00:00.000,2019-08-16,1620,02,Rampart,0221,2,623,BATTERY POLICE (SIMPLE),2048 0416 0446 0417 0319 1822 1212 0910,0,X,X,906,MTA - RED LINE - VERMONT/BEVERLY,IC,Invest Cont,623,300 N  VERMONT                      AV,,34.0777,-118.2961,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,1881,06037192620,6.608694695668161,2019
140707818,2014-04-13T00:00:00.000,2014-04-06,1500,07,Wilshire,0752,2,354,THEFT OF IDENTITY,1501,40,M,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,354,1000 S  ALFRED                       ST,,34.0595,-118.3748,,,,,2089,06037216402,546.7431289969559,2014
150907619,2015-03-16T00:00:00.000,2015-03-15,1100,09,Van Nuys,0952,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1202 1822 0344,61,M,W,503,HOTEL,IC,Invest Cont,440,5400 N  SEPULVEDA                    BL,,34.1685,-118.4662,,,,,1647,06037128801,90.06954418406363,2015
161506054,2016-02-07T00:00:00.000,2016-02-06,2230,15,N Hollywood,1527,1,510,VEHICLE - STOLEN,,0,,,101,STREET,IC,Invest Cont,510,11300    ERWIN                        ST,,34.1831,-118.3768,,,,,1593,06037124201,212.0329180590916,2016
181522767,2018-12-14T00:00:00.000,2018-12-14,0001,15,N Hollywood,1512,1,210,ROBBERY,0337 0302 0353 0365 0334 0344 0324 0335 0312 0369,30,F,H,210,RESTAURANT/FAST FOOD,IC,Invest Cont,210,12700    SHERMAN                      WY,,34.2012,-118.4094,102,HAND GUN,,,1576,06037123303,582.9516943294132,2018
171213244,2017-05-09T00:00:00.000,2017-05-09,1530,12,77th Street,1243,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0305 0431,27,F,B,501,SINGLE FAMILY DWELLING,IC,Invest Cont,230,1900 W  65TH                         PL,,33.9798,-118.3112,512,MACE/PEPPER SPRAY,,,2234,06037237300,146.62386453010348,2017
172111822,2017-06-07T00:00:00.000,2017-06-07,1100,21,Topanga,2183,1,310,BURGLARY,1609 0344 0321,35,F,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,310,23100    GAINFORD                     ST,,34.1602,-118.6299,,,,,1721,06037137402,605.7174816888177,2017
160621219,2016-10-04T00:00:00.000,2016-10-04,1900,06,Hollywood,0646,1,480,BIKE - STOLEN,0344,47,M,H,403,DRUG STORE,IC,Invest Cont,480,1500    VINE                         ST,,34.0987,-118.3337,,,,,1848,06037190701,237.0486244366425,2016
181209067,2018-03-09T00:00:00.000,2018-03-08,1700,12,77th Street,1266,2,624,BATTERY - SIMPLE ASSAULT,0913 0361 0603 0416 0446 0429 0408 2021,34,M,H,501,SINGLE FAMILY DWELLING,IC,Invest Cont,624,800 W  80TH                         ST,,33.9667,-118.2871,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,2246,06037238310,94.78758598199396,2018
131307665,2013-03-09T00:00:00.000,2013-03-09,1700,13,Newton,1346,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0913 0602 2000 1813 1814 0421 0422 1819,47,F,H,501,SINGLE FAMILY DWELLING,AA,Adult Arrest,930,4300    HOOPER                       AV,,34.0058,-118.2521,511,VERBAL THREAT,,,2164,06037228220,107.94080544380718,2013
170816443,2017-10-02T00:00:00.000,2017-10-01,1800,08,West LA,0842,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1817 0942 0344,22,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,440,11700    WILSHIRE                     BL,,34.0495,-118.4609,,,,,2313,06037264304,183.08511482489234,2017
150607852,2015-02-28T00:00:00.000,2015-02-25,2300,06,Hollywood,0646,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,62,M,W,702,OFFICE BUILDING/OFFICE,IC,Invest Cont,740,6400    HOLLYWOOD                    BL,,34.1016,-118.3295,,,,,1840,06037190201,221.83240838853038,2015
160913784,2016-07-14T00:00:00.000,2016-07-14,0420,09,Van Nuys,0989,1,310,BURGLARY,1608 0314 1822,33,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,310,4200    MATILIJA                     AV,,34.1466,-118.4338,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,1745,06037141102,341.385114246169,2016
160416980,2016-10-30T00:00:00.000,2016-10-28,2000,04,Hollenbeck,0409,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,IC,Invest Cont,420,4200    VAN HORNE                    AV,,34.0943,-118.1702,,,,,1924,06037201110,213.6776542954866,2016
191906420,2019-02-22T00:00:00.000,2019-02-22,1940,19,Mission,1964,1,310,BURGLARY,1607 0344 0314,50,M,H,501,SINGLE FAMILY DWELLING,IC,Invest Cont,310,9300    VAN NUYS                     BL,,34.2389,-118.4536,,,,,1529,06037119320,83.70062539259288,2019
