dr_no,date_rptd,date_occ,time_occ,area,area_name,rpt_dist_no,part_1_2,crm_cd,crm_cd_desc,mocodes,vict_age,vict_sex,vict_descent,premis_cd,premis_desc,status,status_desc,crm_cd_1,location,cross_street,lat,lon,weapon_used_cd,weapon_desc,crm_cd_2,crm_cd_3,geoid,distance_to_centroid
171719019,2017-10-13T00:00:00.000,2017-10-13T00:00:00.000,1340,17,Devonshire,1764,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0444 1814,20,F,H,102,SIDEWALK,AO,Adult Other,626,19500    PLUMMER                      ST,,34.2428,-118.5579,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037113301,0.002202260656688321
190313206,2019-05-19T00:00:00.000,2019-05-19T00:00:00.000,1245,03,Southwest,0356,1,330,BURGLARY FROM VEHICLE,1300 0344 1605,54,F,B,108,PARKING LOT,IC,Invest Cont,330,3600 S  WESTERN                      AV,,34.0228,-118.3089,,,,,06037222002,0.0042426756887696156
131207282,2013-02-21T00:00:00.000,2013-02-20T00:00:00.000,2110,12,77th Street,1239,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0334 0603 1820 0445 0342,60,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,230,1000 W  62ND                         ST,,33.9833,-118.2915,200,KNIFE WITH BLADE 6INCHES OR LESS,,,06037237101,0.0011715459871468328
180507703,2018-03-21T00:00:00.000,2018-03-21T00:00:00.000,1830,05,Harbor,0504,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0445 0913 0400 0416 1309 0559,26,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,230,1500 W  208TH                        ST,,33.8419,-118.304,308,STICK,,,06037292001,0.0031740764010905463
151011260,2015-06-26T00:00:00.000,2015-06-19T00:00:00.000,0800,10,West Valley,1003,2,662,"BUNCO, GRAND THEFT",0701 0344 0800 1402,58,F,B,501,SINGLE FAMILY DWELLING,IC,Invest Cont,662,8100    RESEDA                       BL,,34.2148,-118.5404,,,998,,06037131021,0.0026982260839374887
172111979,2017-06-01T00:00:00.000,2017-04-27T00:00:00.000,1200,21,Topanga,2162,2,624,BATTERY - SIMPLE ASSAULT,1258 0400 0447,10,M,H,704,ELEMENTARY SCHOOL,IC,Invest Cont,624,23200    HATTERAS                     ST,,34.1756,-118.6321,,,,,06037137301,0.0036370384930659856
171512401,2017-05-24T00:00:00.000,2017-03-07T00:00:00.000,0800,15,N Hollywood,1526,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906 0913,43,F,H,501,SINGLE FAMILY DWELLING,AO,Adult Other,956,11600    SYLVAN                       ST,,34.1849,-118.3845,,,,,06037124104,0.0002533929754338502
180216814,2018-08-11T00:00:00.000,2018-08-11T00:00:00.000,1320,02,Rampart,0212,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1821 1241 0416 0448 0411 0446,51,M,H,501,SINGLE FAMILY DWELLING,AO,Adult Other,626,500 N  JUANITA                      AV,,34.0799,-118.2904,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037192700,0.0026660840196888777
161714172,2016-07-31T00:00:00.000,2016-07-31T00:00:00.000,1400,17,Devonshire,1781,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1202 1307,61,F,H,101,STREET,IC,Invest Cont,745,NORDHOFF,WINNETKA,34.2319,-118.571,,,,,06037113423,0.009122033654845702
161017641,2016-10-27T00:00:00.000,2016-10-27T00:00:00.000,1923,10,West Valley,1008,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325 0104 0342 1309 0202 1420,50,M,H,407,HARDWARE/BUILDING SUPPLY,IC,Invest Cont,343,16800    ROSCOE                       BL,,34.221,-118.4989,,,,,06037131100,0.009190961864787179
150916727,2015-09-13T00:00:00.000,2015-09-12T00:00:00.000,2045,09,Van Nuys,0935,2,624,BATTERY - SIMPLE ASSAULT,0417 1501,36,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,624,ERWIN,HAZELTINE,34.1837,-118.44,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037128210,0.0028574495621081584
191510170,2019-04-18T00:00:00.000,2019-04-18T00:00:00.000,1700,15,N Hollywood,1562,2,888,TRESPASSING,0913,30,F,W,501,SINGLE FAMILY DWELLING,AO,Adult Other,888,4700    WHITSETT                     AV,,34.1558,-118.4052,,,,,06037143402,0.004653250906613927
161214774,2016-05-26T00:00:00.000,2016-05-23T00:00:00.000,0745,12,77th Street,1249,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1307,53,F,W,121,YARD (RESIDENTIAL/BUSINESS),IC,Invest Cont,745,600 W  68TH                         ST,,33.9783,-118.2838,,,,,06037237600,0.000684143990700074
171518983,2017-09-15T00:00:00.000,2017-09-15T00:00:00.000,1030,15,N Hollywood,1506,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0311,0,M,B,720,JUNIOR HIGH SCHOOL,IC,Invest Cont,740,7300    BAKMAN                       AV,,34.203,-118.3779,,,,,06037123010,0.0035761012289889046
150920805,2015-12-08T00:00:00.000,2015-12-06T00:00:00.000,1900,09,Van Nuys,0952,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1501,25,F,W,123,PARKING UNDERGROUND/BUILDING,IC,Invest Cont,420,5400    KESTER                       AV,,34.1685,-118.4574,,,,,06037128802,0.0016792334560845096
131206260,2013-02-04T00:00:00.000,2013-02-03T00:00:00.000,2140,12,77th Street,1232,1,210,ROBBERY,0342 1822 0344 0416 0429 0417 0448 1202 0413,70,M,B,101,STREET,IC,Invest Cont,210,WEST,SLAUSON,33.989,-118.3352,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037234902,0.007155939421208327
171208937,2017-03-12T00:00:00.000,2017-03-12T00:00:00.000,1730,12,77th Street,1213,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1100 0430 1300 0216 1309 0913 0906,29,M,B,101,STREET,IC,Invest Cont,230,1600 W  58TH                         ST,,33.9897,-118.3044,111,STARTER PISTOL/REVOLVER,,,06037232601,0.0033349044963797646
180914696,2018-07-19T00:00:00.000,2018-04-06T00:00:00.000,1000,09,Van Nuys,0981,2,649,DOCUMENT FORGERY / STOLEN FELONY,0100 1822 0923,49,M,W,229,CHECK CASHING*,IC,Invest Cont,649,15000    VENTURA                      BL,,34.1527,-118.4596,,,,,06037141305,0.003892200405939492
192011862,2019-06-08T00:00:00.000,2019-06-08T00:00:00.000,1810,20,Olympic,2029,2,624,BATTERY - SIMPLE ASSAULT,0444 0202,21,M,O,109,PARK/PLAYGROUND,IC,Invest Cont,624,3100 W  4TH                          ST,,34.0667,-118.2871,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037211124,0.00017270205557096482
151807923,2015-03-23T00:00:00.000,2015-03-23T00:00:00.000,0945,18,Southeast,1803,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416,21,F,H,103,ALLEY,IC,Invest Cont,626,90TH                         ST,AVALON                       BL,33.9583,-118.2684,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037240010,0.005728855470340931
140304587,2014-01-11T00:00:00.000,2014-01-10T00:00:00.000,0630,03,Southwest,0373,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0319 0359 0443,67,M,H,102,SIDEWALK,AA,Adult Arrest,930,3700    GRAYBURN                     AV,,34.0192,-118.3319,511,VERBAL THREAT,,,06037234200,0.0033712782442255717
180417636,2018-11-25T00:00:00.000,2018-11-25T00:00:00.000,0745,04,Hollenbeck,0411,2,624,BATTERY - SIMPLE ASSAULT,1251 1258 0361 0443 0447,13,M,H,501,SINGLE FAMILY DWELLING,IC,Invest Cont,624,200 N  AVENUE 19,,34.0753,-118.2232,500,UNKNOWN WEAPON/OTHER WEAPON,,,06037199001,0.006036357262463102
190904621,2019-01-14T00:00:00.000,2019-01-14T00:00:00.000,1730,09,Van Nuys,0926,1,510,VEHICLE - STOLEN,,0,,,101,STREET,IC,Invest Cont,510,VAN NUYS,KITTRIDGE,34.1907,-118.4487,,,,,06037128102,0.004234601516086643
151007768,2015-04-02T00:00:00.000,2015-04-02T00:00:00.000,1820,10,West Valley,1023,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400 0448,45,F,H,102,SIDEWALK,AO,Adult Other,626,TAMPA                        AV,KITTRIDGE                    ST,34.1906,-118.5535,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037132502,0.005748170578540234
151919586,2015-10-09T00:00:00.000,2015-10-09T00:00:00.000,0610,19,Mission,1915,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0334 0421,49,F,W,101,STREET,IC,Invest Cont,930,12600    DE FOE                       AV,,34.2988,-118.4434,102,HAND GUN,,,06037107010,0.005913259084466343
160104362,2016-01-05T00:00:00.000,2016-01-05T00:00:00.000,1157,01,Central,0111,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 2004,25,M,H,402,MARKET,IC,Invest Cont,442,700 W  CESAR E CHAVEZ               AV,,34.0606,-118.2439,,,,,06037207101,0.0016267962380098037
192120416,2019-12-27T00:00:00.000,2019-12-27T00:00:00.000,1910,21,Topanga,2189,1,761,BRANDISH WEAPON,0329 1307 1822,24,M,O,108,PARKING LOT,AO,Adult Other,740,20200    VENTURA                      BL,,34.1702,-118.5729,311,HAMMER,761,,06037137501,0.006828750983890833
191311627,2019-05-17T00:00:00.000,2019-05-17T00:00:00.000,2105,13,Newton,1383,1,251,SHOTS FIRED AT INHABITED DWELLING,1100 1407 0906,41,M,H,501,SINGLE FAMILY DWELLING,IC,Invest Cont,251,100 W  62ND                         ST,,33.9833,-118.2739,102,HAND GUN,998,,06037239201,0.0037603921338056423
170507812,2017-03-24T00:00:00.000,2017-03-23T00:00:00.000,0200,05,Harbor,0564,1,510,VEHICLE - STOLEN,,0,,,101,STREET,IC,Invest Cont,510,400 W  5TH                          ST,,33.7397,-118.2857,,,,,06037296220,0.0027481908594592574
172104725,2017-01-14T00:00:00.000,2017-01-14T00:00:00.000,0800,21,Topanga,2187,2,354,THEFT OF IDENTITY,1822,37,F,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,354,5200    MARMOL                       DR,,34.1633,-118.5921,,,,,06037137502,0.005849829057333749
172010510,2017-05-10T00:00:00.000,2017-05-09T00:00:00.000,1900,20,Olympic,2029,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,27,M,H,101,STREET,IC,Invest Cont,745,LAFAYETTE                    PL,WILSHIRE                     BL,34.0652,-118.2878,,,,,06037211124,0.0015317395340018961
190216710,2019-08-16T00:00:00.000,2019-08-16T00:00:00.000,1620,02,Rampart,0221,2,623,BATTERY POLICE (SIMPLE),2048 0416 0446 0417 0319 1822 1212 0910,0,X,X,906,MTA - RED LINE - VERMONT/BEVERLY,IC,Invest Cont,623,300 N  VERMONT                      AV,,34.0777,-118.2961,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037192620,6.438167441460866e-05
140707818,2014-04-13T00:00:00.000,2014-04-06T00:00:00.000,1500,07,Wilshire,0752,2,354,THEFT OF IDENTITY,1501,40,M,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,354,1000 S  ALFRED                       ST,,34.0595,-118.3748,,,,,06037216401,0.005639205972478193
150907619,2015-03-16T00:00:00.000,2015-03-15T00:00:00.000,1100,09,Van Nuys,0952,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1202 1822 0344,61,M,W,503,HOTEL,IC,Invest Cont,440,5400 N  SEPULVEDA                    BL,,34.1685,-118.4662,,,,,06037128801,0.0009202939747658718
161506054,2016-02-07T00:00:00.000,2016-02-06T00:00:00.000,2230,15,N Hollywood,1527,1,510,VEHICLE - STOLEN,,0,,,101,STREET,IC,Invest Cont,510,11300    ERWIN                        ST,,34.1831,-118.3768,,,,,06037124201,0.002165920127805825
181522767,2018-12-14T00:00:00.000,2018-12-14T00:00:00.000,0001,15,N Hollywood,1512,1,210,ROBBERY,0337 0302 0353 0365 0334 0344 0324 0335 0312 0369,30,F,H,210,RESTAURANT/FAST FOOD,IC,Invest Cont,210,12700    SHERMAN                      WY,,34.2012,-118.4094,102,HAND GUN,,,06037123303,0.005413394960649283
171213244,2017-05-09T00:00:00.000,2017-05-09T00:00:00.000,1530,12,77th Street,1243,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0305 0431,27,F,B,501,SINGLE FAMILY DWELLING,IC,Invest Cont,230,1900 W  65TH                         PL,,33.9798,-118.3112,512,MACE/PEPPER SPRAY,,,06037237300,0.0013318547218024604
172111822,2017-06-07T00:00:00.000,2017-06-07T00:00:00.000,1100,21,Topanga,2183,1,310,BURGLARY,1609 0344 0321,35,F,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,310,23100    GAINFORD                     ST,,34.1602,-118.6299,,,,,06037137402,0.006078016123713359
160621219,2016-10-04T00:00:00.000,2016-10-04T00:00:00.000,1900,06,Hollywood,0646,1,480,BIKE - STOLEN,0344,47,M,H,403,DRUG STORE,IC,Invest Cont,480,1500    VINE                         ST,,34.0987,-118.3337,,,,,06037190701,0.0024623606559482426
181209067,2018-03-09T00:00:00.000,2018-03-08T00:00:00.000,1700,12,77th Street,1266,2,624,BATTERY - SIMPLE ASSAULT,0913 0361 0603 0416 0446 0429 0408 2021,34,M,H,501,SINGLE FAMILY DWELLING,IC,Invest Cont,624,800 W  80TH                         ST,,33.9667,-118.2871,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037238310,0.0009054043295669299
131307665,2013-03-09T00:00:00.000,2013-03-09T00:00:00.000,1700,13,Newton,1346,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0913 0602 2000 1813 1814 0421 0422 1819,47,F,H,501,SINGLE FAMILY DWELLING,AA,Adult Arrest,930,4300    HOOPER                       AV,,34.0058,-118.2521,511,VERBAL THREAT,,,06037228220,0.00113920191362081
170816443,2017-10-02T00:00:00.000,2017-10-01T00:00:00.000,1800,08,West LA,0842,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1817 0942 0344,22,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,440,11700    WILSHIRE                     BL,,34.0495,-118.4609,,,,,06037264304,0.0018551247936529516
150607852,2015-02-28T00:00:00.000,2015-02-25T00:00:00.000,2300,06,Hollywood,0646,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,62,M,W,702,OFFICE BUILDING/OFFICE,IC,Invest Cont,740,6400    HOLLYWOOD                    BL,,34.1016,-118.3295,,,,,06037190201,0.0020183867320265
160913784,2016-07-14T00:00:00.000,2016-07-14T00:00:00.000,0420,09,Van Nuys,0989,1,310,BURGLARY,1608 0314 1822,33,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,310,4200    MATILIJA                     AV,,34.1466,-118.4338,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,06037141102,0.0031282173837531664
